股票名称,股票代码,股票代码（纯数字）
现代制药,sh600420,600420
仰帆控股,sh600421,600421
昆药集团,sh600422,600422
柳化股份,sh600423,600423
青松建化,sh600425,600425
华鲁恒升,sh600426,600426
中远航运,sh600428,600428
三元股份,sh600429,600429
吉恩镍业,sh600432,600432
冠豪高新,sh600433,600433
北方导航,sh600435,600435
片仔癀,sh600436,600436
通威股份,sh600438,600438
瑞贝卡,sh600439,600439
国通管业,sh600444,600444
金证股份,sh600446,600446
华纺股份,sh600448,600448
宁夏建材,sh600449,600449
涪陵电力,sh600452,600452
博通股份,sh600455,600455
宝钛股份,sh600456,600456
时代新材,sh600458,600458
贵研铂业,sh600459,600459
士兰微,sh600460,600460
洪城水业,sh600461,600461
石岘纸业,sh600462,600462
空港股份,sh600463,600463
迪康药业,sh600466,600466
好当家,sh600467,600467
百利电气,sh600468,600468
风神股份,sh600469,600469
六国化工,sh600470,600470
包头铝业,sh600472,600472
华光股份,sh600475,600475
湘邮科技,sh600476,600476
杭萧钢构,sh600477,600477
科力远,sh600478,600478
千金药业,sh600479,600479
凌云股份,sh600480,600480
双良节能,sh600481,600481
风帆股份,sh600482,600482
福能股份,sh600483,600483
信威集团,sh600485,600485
扬农化工,sh600486,600486
亨通光电,sh600487,600487
天药股份,sh600488,600488
中金黄金,sh600489,600489
鹏欣资源,sh600490,600490
龙元建设,sh600491,600491
凤竹纺织,sh600493,600493
晋西车轴,sh600495,600495
精工钢构,sh600496,600496
驰宏锌锗,sh600497,600497
烽火通信,sh600498,600498
科达洁能,sh600499,600499
中化国际,sh600500,600500
航天晨光,sh600501,600501
安徽水利,sh600502,600502
华丽家族,sh600503,600503
西昌电力,sh600505,600505
香梨股份,sh600506,600506
方大特钢,sh600507,600507
上海能源,sh600508,600508
天富能源,sh600509,600509
黑牡丹,sh600510,600510
国药股份,sh600511,600511
腾达建设,sh600512,600512
联环药业,sh600513,600513
海岛建设,sh600515,600515
方大炭素,sh600516,600516
置信电气,sh600517,600517
康美药业,sh600518,600518
贵州茅台,sh600519,600519
中发科技,sh600520,600520
华海药业,sh600521,600521
中天科技,sh600522,600522
贵航股份,sh600523,600523
长园集团,sh600525,600525
菲达环保,sh600526,600526
江南高纤,sh600527,600527
中铁二局,sh600528,600528
山东药玻,sh600529,600529
交大昂立,sh600530,600530
豫光金铅,sh600531,600531
宏达矿业,sh600532,600532
栖霞建设,sh600533,600533
天士力,sh600535,600535
中国软件,sh600536,600536
亿晶光电,sh600537,600537
国发股份,sh600538,600538
狮头股份,sh600539,600539
新赛股份,sh600540,600540
莫高股份,sh600543,600543
新疆城建,sh600545,600545
山煤国际,sh600546,600546
山东黄金,sh600547,600547
深高速,sh600548,600548
厦门钨业,sh600549,600549
保变电气,sh600550,600550
时代出版,sh600551,600551
方兴科技,sh600552,600552
太行水泥,sh600553,600553
九龙山,sh600555,600555
慧球科技,sh600556,600556
康缘药业,sh600557,600557
大西洋,sh600558,600558
老白干酒,sh600559,600559
金自天正,sh600560,600560
江西长运,sh600561,600561
国睿科技,sh600562,600562
法拉电子,sh600563,600563
迪马股份,sh600565,600565
济川药业,sh600566,600566
山鹰纸业,sh600567,600567
中珠控股,sh600568,600568
安阳钢铁,sh600569,600569
恒生电子,sh600570,600570
信雅达,sh600571,600571
康恩贝,sh600572,600572
惠泉啤酒,sh600573,600573
皖江物流,sh600575,600575
万好万家,sh600576,600576
精达股份,sh600577,600577
京能电力,sh600578,600578
天华院,sh600579,600579
卧龙电气,sh600580,600580
八一钢铁,sh600581,600581
天地科技,sh600582,600582
海油工程,sh600583,600583
长电科技,sh600584,600584
海螺水泥,sh600585,600585
金晶科技,sh600586,600586
新华医疗,sh600587,600587
用友网络,sh600588,600588
广东榕泰,sh600589,600589
泰豪科技,sh600590,600590
*ST上航,sh600591,600591
龙溪股份,sh600592,600592
大连圣亚,sh600593,600593
益佰制药,sh600594,600594
中孚实业,sh600595,600595
新安股份,sh600596,600596
光明乳业,sh600597,600597
*ST大荒,sh600598,600598
熊猫烟花,sh600599,600599
青岛啤酒,sh600600,600600
方正科技,sh600601,600601
仪电电子,sh600602,600602
大洲兴业,sh600603,600603
市北高新,sh600604,600604
汇通能源,sh600605,600605
金丰投资,sh600606,600606
上实医药,sh600607,600607
上海科技,sh600608,600608
金杯汽车,sh600609,600609
*ST中毅,sh600610,600610
大众交通,sh600611,600611
老凤祥,sh600612,600612
神奇制药,sh600613,600613
鼎立股份,sh600614,600614
丰华股份,sh600615,600615
金枫酒业,sh600616,600616
国新能源,sh600617,600617
氯碱化工,sh600618,600618
海立股份,sh600619,600619
天宸股份,sh600620,600620
华鑫股份,sh600621,600621
嘉宝集团,sh600622,600622
